ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
26 Jan 2021,20 Apr 2021,21 Apr 2021,22 Apr 2021,4.0000EUR
22 Oct 2020,1 Dec 2020,2 Dec 2020,3 Dec 2020,2.0000EUR
29 Jan 2020,7 Jul 2020,8 Jul 2020,9 Jul 2020,2.6000EUR
31 Oct 2019,6 Dec 2019,9 Dec 2019,10 Dec 2019,2.2000EUR
29 Jan 2019,25 Apr 2019,26 Apr 2019,29 Apr 2019,4.0000EUR
