ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
22 Oct 2020,10 May 2021,11 May 2021,12 May 2021,2.6000EUR
24 Oct 2019,5 May 2020,6 May 2020,7 May 2020,2.5500EUR
14 Feb 2019,30 Apr 2019,2 May 2019,3 May 2019,2.3500EUR
