EVENT_TITLE,EVENT_DATE
Half Year 2021 Schneider Electric SE Earnings Release,30 Jul 2021 / 7AM CEST
Schneider Electric SE at Morgan Stanley Industrial CEOs Unplugged Conference (Virtual),8 Sep 2021 / 12PM CEST
