ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
11 May 2021,10 May 2021,11 May 2021,26 May 2021,0.8486USD
28 Apr 2020,12 May 2020,13 May 2020,29 May 2020,0.5399USD
12 Mar 2019,14 May 2019,15 May 2019,31 May 2019,1.0290USD
