ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
25 Feb 2021,26 May 2021,27 May 2021,28 May 2021,2.5000EUR
27 Feb 2020,25 May 2020,26 May 2020,27 May 2020,2.2000EUR
27 Feb 2019,27 May 2019,28 May 2019,29 May 2019,2.5000EUR
