ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
10 Feb 2020,8 Jun 2020,9 Jun 2020,10 Jun 2020,3.0000EUR
25 Jul 2019,6 Dec 2019,9 Dec 2019,10 Dec 2019,0.7000EUR
14 Feb 2019,7 Jun 2019,10 Jun 2019,11 Jun 2019,3.0000EUR
14 Nov 2018,6 Dec 2018,7 Dec 2018,10 Dec 2018,0.7000EUR
