ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
21 May 2021,26 May 2021,27 May 2021,1 Jan 1901,0.1172USD
19 May 2020,8 Jun 2020,9 Jun 2020,7 Jul 2020,0.0517USD
10 Jun 2019,20 Jun 2019,21 Jun 2019,18 Jul 2019,0.1035USD
