ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
26 Feb 2021,28 Jun 2021,29 Jun 2021,30 Jun 2021,0.6500EUR
26 Jul 2019,18 May 2020,19 May 2020,20 May 2020,0.4500EUR
27 Feb 2019,20 May 2019,21 May 2019,22 May 2019,0.6500EUR
