ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
18 Feb 2021,14 May 2021,17 May 2021,18 May 2021,0.9000EUR
22 Mar 2019,3 May 2019,6 May 2019,1 Jan 1901,40.0000
22 Mar 2019,3 May 2019,6 May 2019,28 May 2019,1.7000EUR
