ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
26 Feb 2021,24 May 2021,25 May 2021,26 May 2021,1.1100EUR
21 Feb 2019,29 May 2019,30 May 2019,31 May 2019,3.0200EUR
