EVENT_TITLE,EVENT_DATE
Q2 2021 BNP Paribas SA Earnings Release,30 Jul 2021 / 7AM CEST
Q3 2021 BNP Paribas SA Earnings Release,29 Oct 2021 / 7AM CEST
