EVENT_TITLE,EVENT_DATE
Q1 2021 Amplitude Surgical SA Corporate Sales Release,18 Nov 2021 / 4PM CET
Amplitude Surgical SA Annual Shareholders Meeting,17 Dec 2021 / 9AM CET
