ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
17 Feb 2021,31 May 2021,1 Jun 2021,2 Jun 2021,1.8000EUR
12 Feb 2020,1 Jun 2020,2 Jun 2020,3 Jun 2020,2.4500EUR
13 Feb 2019,3 Jun 2019,4 Jun 2019,5 Jun 2019,3.4500EUR
