EVENT_TITLE,EVENT_DATE
Half Year 2021 Societe BIC SA Earnings Release,28 Jul 2021 / 4PM CEST
Half Year 2021 Societe BIC SA Earnings Call,29 Jul 2021 / 1PM CEST
