ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
7 May 2021,10 May 2021,11 May 2021,12 May 2021,0.0970EUR
16 Jul 2020,14 Jul 2020,15 Jul 2020,16 Jul 2020,0.1050EUR
28 Feb 2020,11 May 2020,12 May 2020,13 May 2020,0.1050EUR
22 Feb 2019,7 May 2019,8 May 2019,9 May 2019,0.0970EUR
