ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
14 May 2021,15 Jun 2021,16 Jun 2021,20 Jul 2021,0.6039USD
3 Sep 2020,10 Sep 2020,11 Sep 2020,5 Oct 2020,0.3373USD
25 Apr 2019,25 Jun 2019,26 Jun 2019,30 Jul 2019,0.5919USD
