ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
24 Feb 2021,2 Jun 2021,3 Jun 2021,4 Jun 2021,1.0000EUR
15 May 2019,20 Jun 2019,21 Jun 2019,24 Jun 2019,1.0000EUR
