ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
5 Feb 2021,20 Apr 2021,21 Apr 2021,22 Apr 2021,2.0400EUR
5 May 2020,23 Jun 2020,24 Jun 2020,16 Jul 2020,1.2500EUR
31 Jul 2019,5 Nov 2019,6 Nov 2019,7 Nov 2019,0.7900EUR
27 Feb 2019,23 Apr 2019,24 Apr 2019,25 Apr 2019,1.9200EUR
27 Jul 2018,6 Nov 2018,7 Nov 2018,8 Nov 2018,0.7500EUR
