ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
8 Mar 2021,18 May 2021,19 May 2021,11 Jun 2021,0.3225USD
17 Nov 2020,1 Dec 2020,2 Dec 2020,24 Dec 2020,0.0968USD
18 Nov 2019,3 Dec 2019,4 Dec 2019,26 Dec 2019,0.1328USD
9 Apr 2019,17 May 2019,20 May 2019,14 Jun 2019,0.3516USD
20 Nov 2018,4 Dec 2018,5 Dec 2018,27 Dec 2018,0.5680USD
