ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
18 Feb 2021,4 May 2021,5 May 2021,6 May 2021,1.7000EUR
20 Feb 2020,9 Sep 2020,10 Sep 2020,11 Sep 2020,1.7000EUR
21 Feb 2019,30 Apr 2019,2 May 2019,3 May 2019,1.7000EUR
