NAME,AGE,POSITION,APPOINTED
Michel Cognet,69,Chairman Of The Supervisory Board,2014
Francois Lombard,71,Chief Executive Officer,--
Michele Custodero,--,Independent Member Of The Supervisory Board - Representative Of Taiko,2018
Sabine Roux De Bezieux,56,Independent Member Of The Supervisory Board,2014
Christian Toulouse,71,Member Of The Supervisory Board,2006
