ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
14 Feb 2020,30 Apr 2020,4 May 2020,5 May 2020,1.1000EUR
14 Feb 2019,18 Jun 2019,19 Jun 2019,20 Jun 2019,3.5500EUR
