NAME,AGE,POSITION,APPOINTED
Alain Moussy,--,"Chairman Of The Board, Chief Executive Officer",2001
Denis Gicquel,--,Deputy Chief Executive Officer,2014
Laurent Guy,--,Chief Financial Officer,--
Patrick Moussy,--,Director,2001
Renaud Sassi,--,Director,2021
Cecile De Guillebon,--,Independent Director,2021
Catherine Johnston-Roussillo,--,Independent Director,2021
Guillemette Latscha,--,Independent Director,2021
