ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
19 Mar 2020,21 Sep 2021,22 Sep 2021,1 Oct 2021,0.6600EUR
14 Mar 2019,24 Jun 2021,30 Jun 2021,1 Jul 2021,0.6600EUR
14 Mar 2019,25 Mar 2021,26 Mar 2021,1 Apr 2021,0.6600EUR
14 Mar 2019,4 Jan 2021,5 Jan 2021,11 Jan 2021,0.6600EUR
