ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
13 Feb 2020,20 Apr 2020,21 Apr 2020,22 Apr 2020,1.8000EUR
18 Feb 2019,15 Apr 2019,16 Apr 2019,17 Apr 2019,1.6500EUR
