ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
17 Feb 2021,2 Jun 2021,3 Jun 2021,4 Jun 2021,1.9500EUR
13 Feb 2020,3 Jun 2020,4 Jun 2020,5 Jun 2020,1.3500EUR
14 Feb 2019,5 Jun 2019,6 Jun 2019,7 Jun 2019,1.7000EUR
