NAME;SECTOR;SUB INDUSTRY;REUTERS_CODE;YAHOO_CODE
CSX;Industrials;Railroads;CSX.N;CSX
Cummins;Industrials;Industrial Machinery;CMI.N;CMI
CVS Health;Health Care;Health Care Services;CVS.N;CVS
D. R. Horton;Consumer Discretionary;Homebuilding;DHI.N;DHI
Danaher;Health Care;Health Care Equipment;DHR.N;DHR
Darden Restaurants;Consumer Discretionary;Restaurants;DRI.N;DRI
DaVita;Health Care;Health Care Facilities;DVA.N;DVA
Deere & Co.;Industrials;Agricultural & Farm Machinery;DE.N;DE
Delta Air Lines;Industrials;Airlines;DAL.N;DAL
Dentsply Sirona;Health Care;Health Care Supplies;XRAY.N;XRAY
Devon Energy;Energy;Oil & Gas Exploration & Production;DVN.N;DVN
DexCom;Health Care;Health Care Equipment;DXCM.N;DXCM
Diamondback Energy;Energy;Oil & Gas Exploration & Production;FANG.N;FANG
Digital Realty Trust;Real Estate;Specialized REITs;DLR.N;DLR
Discover Financial Services;Financials;Consumer Finance;DFS.N;DFS
Discoveryÿ(Series A);Communication Services;Broadcasting;DISCA.N;DISCA
Discoveryÿ(Series C);Communication Services;Broadcasting;DISCK.N;DISCK
Dish Network;Communication Services;Cable & Satellite;DISH.N;DISH
Dollar General;Consumer Discretionary;General Merchandise Stores;DG.N;DG
Dollar Tree;Consumer Discretionary;General Merchandise Stores;DLTR.N;DLTR
Dominion Energy;Utilities;Electric Utilities;D.N;D
Domino's Pizza;Consumer Discretionary;Restaurants;DPZ.N;DPZ
Dover Corporation;Industrials;Industrial Machinery;DOV.N;DOV
Dow;Materials;Commodity Chemicals;DOW.N;DOW
DTE Energy;Utilities;Multi-Utilities;DTE.N;DTE
Duke Energy;Utilities;Electric Utilities;DUK.N;DUK
Duke Realty Corp;Real Estate;Industrial REITs;DRE.N;DRE
DuPont;Materials;Specialty Chemicals;DD.N;DD
DXC Technology;Information Technology;IT Consulting & Other Services;DXC.N;DXC
Eastman Chemical;Materials;Diversified Chemicals;EMN.N;EMN
Eaton Corporation;Industrials;Electrical Components & Equipment;ETN.N;ETN
eBay;Consumer Discretionary;Internet & Direct Marketing Retail;EBAY.N;EBAY
Ecolab;Materials;Specialty Chemicals;ECL.N;ECL
Edison International;Utilities;Electric Utilities;EIX.N;EIX
Edwards Lifesciences;Health Care;Health Care Equipment;EW.N;EW
Electronic Arts;Communication Services;Interactive Home Entertainment;EA.N;EA
Emerson Electric;Industrials;Electrical Components & Equipment;EMR.N;EMR
Enphase Energy;Information Technology;Electronic Components;ENPH.N;ENPH
Entergy;Utilities;Electric Utilities;ETR.N;ETR
EOG Resources;Energy;Oil & Gas Exploration & Production;EOG.N;EOG
Equifax;Industrials;Research & Consulting Services;EFX.N;EFX
Equinix;Real Estate;Specialized REITs;EQIX.N;EQIX
Equity Residential;Real Estate;Residential REITs;EQR.N;EQR
Essex Property Trust;Real Estate;Residential REITs;ESS.N;ESS
Est‚e Lauder Companies;Consumer Staples;Personal Products;EL.N;EL
Etsy;Consumer Discretionary;Internet & Direct Marketing Retail;ETSY.N;ETSY
Evergy;Utilities;Electric Utilities;EVRG.N;EVRG
Eversource Energy;Utilities;Multi-Utilities;ES.N;ES
Everest Re;Financials;Reinsurance;RE.N;RE
Exelon;Utilities;Multi-Utilities;EXC.N;EXC
Expedia Group;Consumer Discretionary;Internet & Direct Marketing Retail;EXPE.N;EXPE
Expeditors;Industrials;Air Freight & Logistics;EXPD.N;EXPD
Extra Space Storage;Real Estate;Specialized REITs;EXR.N;EXR
ExxonMobil;Energy;Integrated Oil & Gas;XOM.N;XOM
F5 Networks;Information Technology;Communications Equipment;FFIV.N;FFIV
Fastenal;Industrials;Building Products;FAST.N;FAST
Federal Realty Investment Trust;Real Estate;Retail REITs;FRT.N;FRT
FedEx;Industrials;Air Freight & Logistics;FDX.N;FDX
Fidelity National Information Services;Information Technology;Data Processing & Outsourced Services;FIS.N;FIS
Fifth Third Bancorp;Financials;Regional Banks;FITB.N;FITB
FirstEnergy;Utilities;Electric Utilities;FE.N;FE
First Republic Bank;Financials;Regional Banks;FRC.N;FRC
Fiserv;Information Technology;Data Processing & Outsourced Services;FISV.N;FISV
Fleetcor;Information Technology;Data Processing & Outsourced Services;FLT.N;FLT
FMC Corporation;Materials;Fertilizers & Agricultural Chemicals;FMC.N;FMC
Ford;Consumer Discretionary;Automobile Manufacturers;F.N;F
Fortinet;Information Technology;Systems Software;FTNT.N;FTNT
Fortive;Industrials;Industrial Machinery;FTV.N;FTV
Fortune Brands Home & Security;Industrials;Building Products;FBHS.N;FBHS
Fox Corporationÿ(Class A);Communication Services;Movies & Entertainment;FOXA.N;FOXA
Fox Corporationÿ(Class B);Communication Services;Movies & Entertainment;FOX.N;FOX
Franklin Resources;Financials;Asset Management & Custody Banks;BEN.N;BEN
Freeport-McMoRan;Materials;Copper;FCX.N;FCX
Gap;Consumer Discretionary;Apparel Retail;GPS.N;GPS
Garmin;Consumer Discretionary;Consumer Electronics;GRMN.N;GRMN
Gartner;Information Technology;IT Consulting & Other Services;IT.N;IT
Generac Holdings;Industrials;Electrical Components & Equipment;GNRC.N;GNRC
General Dynamics;Industrials;Aerospace & Defense;GD.N;GD
General Electric;Industrials;Industrial Conglomerates;GE.N;GE
General Mills;Consumer Staples;Packaged Foods & Meats;GIS.N;GIS
General Motors;Consumer Discretionary;Automobile Manufacturers;GM.N;GM
Genuine Parts;Consumer Discretionary;Specialty Stores;GPC.N;GPC
Gilead Sciences;Health Care;Biotechnology;GILD.N;GILD
Globe Life;Financials;Life & Health Insurance;GL.N;GL
Global Payments;Information Technology;Data Processing & Outsourced Services;GPN.N;GPN
Goldman Sachs;Financials;Investment Banking & Brokerage;GS.N;GS
W. W. Grainger;Industrials;Industrial Machinery;GWW.N;GWW
Halliburton;Energy;Oil & Gas Equipment & Services;HAL.N;HAL
Hanesbrands;Consumer Discretionary;Apparel, Accessories & Luxury Goods;HBI.N;HBI
The Hartford;Financials;Property & Casualty Insurance;HIG.N;HIG
Hasbro;Consumer Discretionary;Leisure Products;HAS.N;HAS
HCA Healthcare;Health Care;Health Care Facilities;HCA.N;HCA
Healthpeak Properties;Real Estate;Health Care REITs;PEAK.N;PEAK
Henry Schein;Health Care;Health Care Distributors;HSIC.N;HSIC
The Hershey Company;Consumer Staples;Packaged Foods & Meats;HSY.N;HSY
Hess Corporation;Energy;Integrated Oil & Gas;HES.N;HES
Hewlett Packard Enterprise;Information Technology;Technology Hardware, Storage & Peripherals;HPE.N;HPE
Hilton Worldwide;Consumer Discretionary;Hotels, Resorts & Cruise Lines;HLT.N;HLT
Hologic;Health Care;Health Care Equipment;HOLX.N;HOLX
Home Depot;Consumer Discretionary;Home Improvement Retail;HD.N;HD
Honeywell;Industrials;Industrial Conglomerates;HON.N;HON
Hormel;Consumer Staples;Packaged Foods & Meats;HRL.N;HRL
Host Hotels & Resorts;Real Estate;Hotel & Resort REITs;HST.N;HST
Howmet Aerospace;Industrials;Aerospace & Defense;HWM.N;HWM
HP;Information Technology;Technology Hardware, Storage & Peripherals;HPQ.N;HPQ
Humana;Health Care;Managed Health Care;HUM.N;HUM
Huntington Bancshares;Financials;Regional Banks;HBAN.N;HBAN
Huntington Ingalls Industries;Industrials;Aerospace & Defense;HII.N;HII
IDEX Corporation;Industrials;Industrial Machinery;IEX.N;IEX
Idexx Laboratories;Health Care;Health Care Equipment;IDXX.N;IDXX
IHS Markit;Industrials;Research & Consulting Services;INFO.N;INFO
Illinois Tool Works;Industrials;Industrial Machinery;ITW.N;ITW
Illumina;Health Care;Life Sciences Tools & Services;ILMN.N;ILMN
Incyte;Health Care;Biotechnology;INCY.N;INCY
Ingersoll Rand;Industrials;Industrial Machinery;IR.N;IR
Intel;Information Technology;Semiconductors;INTC.N;INTC
Intercontinental Exchange;Financials;Financial Exchanges & Data;ICE.N;ICE
IBM;Information Technology;IT Consulting & Other Services;IBM.N;IBM
International Paper;Materials;Paper Packaging;IP.N;IP
Interpublic Group;Communication Services;Advertising;IPG.N;IPG
International Flavors & Fragrances;Materials;Specialty Chemicals;IFF.N;IFF
Intuit;Information Technology;Application Software;INTU.N;INTU
Intuitive Surgical;Health Care;Health Care Equipment;ISRG.N;ISRG
Invesco;Financials;Asset Management & Custody Banks;IVZ.N;IVZ
IPG Photonics;Information Technology;Electronic Manufacturing Services;IPGP.N;IPGP
IQVIA;Health Care;Life Sciences Tools & Services;IQV.N;IQV
Iron Mountain;Real Estate;Specialized REITs;IRM.N;IRM
Jack Henry & Associates;Information Technology;Data Processing & Outsourced Services;JKHY.N;JKHY
Jacobs Engineering Group;Industrials;Construction & Engineering;J.N;J
J. B. Hunt;Industrials;Trucking;JBHT.N;JBHT
JM Smucker;Consumer Staples;Packaged Foods & Meats;SJM.N;SJM
Johnson & Johnson;Health Care;Pharmaceuticals;JNJ.N;JNJ
Johnson Controls;Industrials;Building Products;JCI.N;JCI
JPMorgan Chase;Financials;Diversified Banks;JPM.N;JPM
Juniper Networks;Information Technology;Communications Equipment;JNPR.N;JNPR
Kansas City Southern;Industrials;Railroads;KSU.N;KSU
Kellogg's;Consumer Staples;Packaged Foods & Meats;K.N;K
KeyCorp;Financials;Regional Banks;KEY.N;KEY
Keysight Technologies;Information Technology;Electronic Equipment & Instruments;KEYS.N;KEYS
Kimberly-Clark;Consumer Staples;Household Products;KMB.N;KMB
Kimco Realty;Real Estate;Retail REITs;KIM.N;KIM
Kinder Morgan;Energy;Oil & Gas Storage & Transportation;KMI.N;KMI
KLA Corporation;Information Technology;Semiconductor Equipment;KLAC.N;KLAC
Kraft Heinz;Consumer Staples;Packaged Foods & Meats;KHC.N;KHC
Kroger;Consumer Staples;Food Retail;KR.N;KR
L3Harris Technologies;Industrials;Aerospace & Defense;LHX.N;LHX
LabCorp;Health Care;Health Care Services;LH.N;LH
Lam Research;Information Technology;Semiconductor Equipment;LRCX.N;LRCX
Lamb Weston;Consumer Staples;Packaged Foods & Meats;LW.N;LW
Las Vegas Sands;Consumer Discretionary;Casinos & Gaming;LVS.N;LVS
Leggett & Platt;Consumer Discretionary;Home Furnishings;LEG.N;LEG
Leidos;Industrials;Diversified Support Services;LDOS.N;LDOS
Lennar;Consumer Discretionary;Homebuilding;LEN.N;LEN
Eli Lilly;Health Care;Pharmaceuticals;LLY.N;LLY
Lincoln National;Financials;Multi-line Insurance;LNC.N;LNC
Linde;Materials;Industrial Gases;LIN.N;LIN
Live Nation Entertainment;Communication Services;Movies & Entertainment;LYV.N;LYV
LKQ Corporation;Consumer Discretionary;Distributors;LKQ.N;LKQ
Lockheed Martin;Industrials;Aerospace & Defense;LMT.N;LMT
Loews Corporation;Financials;Multi-line Insurance;L.N;L
Lowe's;Consumer Discretionary;Home Improvement Retail;LOW.N;LOW
Lumen Technologies;Communication Services;Alternative Carriers;LUMN.N;LUMN
LyondellBasell;Materials;Specialty Chemicals;LYB.N;LYB
M&T Bank;Financials;Regional Banks;MTB.N;MTB
Marathon Oil;Energy;Oil & Gas Exploration & Production;MRO.N;MRO
Marathon Petroleum;Energy;Oil & Gas Refining & Marketing;MPC.N;MPC
MarketAxess;Financials;Financial Exchanges & Data;MKTX.N;MKTX
Marriott International;Consumer Discretionary;Hotels, Resorts & Cruise Lines;MAR.N;MAR
Marsh & McLennan;Financials;Insurance Brokers;MMC.N;MMC
Martin Marietta Materials;Materials;Construction Materials;MLM.N;MLM
Masco;Industrials;Building Products;MAS.N;MAS
Mastercard;Information Technology;Data Processing & Outsourced Services;MA.N;MA
Match Group;Communication Services;Interactive Media & Services;MTCH.N;MTCH
McCormick & Company;Consumer Staples;Packaged Foods & Meats;MKC.N;MKC
McDonald's;Consumer Discretionary;Restaurants;MCD.N;MCD
McKesson Corporation;Health Care;Health Care Distributors;MCK.N;MCK
Medtronic;Health Care;Health Care Equipment;MDT.N;MDT
Merck;Health Care;Pharmaceuticals;MRK.N;MRK
Meta Platforms;Communication Services;Interactive Media & Services;FB.N;FB
MetLife;Financials;Life & Health Insurance;MET.N;MET
Mettler Toledo;Health Care;Life Sciences Tools & Services;MTD.N;MTD
MGM Resorts International;Consumer Discretionary;Casinos & Gaming;MGM.N;MGM
Microchip Technology;Information Technology;Semiconductors;MCHP.N;MCHP
Micron Technology;Information Technology;Semiconductors;MU.N;MU
Microsoft;Information Technology;Systems Software;MSFT.N;MSFT
Mid-America Apartments;Real Estate;Residential REITs;MAA.N;MAA
Moderna;Health Care;Biotechnology;MRNA.N;MRNA
Mohawk Industries;Consumer Discretionary;Home Furnishings;MHK.N;MHK
Molson Coors;Consumer Staples;Brewers;TAP.N;TAP
Mondelez International;Consumer Staples;Packaged Foods & Meats;MDLZ.N;MDLZ
Monolithic Power Systems;Information Technology;Semiconductors;MPWR.N;MPWR
Monster Beverage;Consumer Staples;Soft Drinks;MNST.N;MNST
Moody's;Financials;Financial Exchanges & Data;MCO.N;MCO
Morgan Stanley;Financials;Investment Banking & Brokerage;MS.N;MS
The Mosaic Company;Materials;Fertilizers & Agricultural Chemicals;MOS.N;MOS
Motorola Solutions;Information Technology;Communications Equipment;MSI.N;MSI
MSCI;Financials;Financial Exchanges & Data;MSCI.N;MSCI
Nasdaq;Financials;Financial Exchanges & Data;NDAQ.N;NDAQ
NetApp;Information Technology;Technology Hardware, Storage & Peripherals;NTAP.N;NTAP
Netflix;Communication Services;Movies & Entertainment;NFLX.N;NFLX
Newell Brands;Consumer Discretionary;Housewares & Specialties;NWL.N;NWL
Newmont;Materials;Gold;NEM.N;NEM
News Corpÿ(Class A);Communication Services;Publishing;NWSA.N;NWSA
News Corpÿ(Class B);Communication Services;Publishing;NWS.N;NWS
NextEra Energy;Utilities;Multi-Utilities;NEE.N;NEE
Nielsen Holdings;Industrials;Research & Consulting Services;NLSN.N;NLSN
Nike;Consumer Discretionary;Apparel, Accessories & Luxury Goods;NKE.N;NKE
NiSource;Utilities;Multi-Utilities;NI.N;NI
Norfolk Southern;Industrials;Railroads;NSC.N;NSC
Northern Trust;Financials;Asset Management & Custody Banks;NTRS.N;NTRS
Northrop Grumman;Industrials;Aerospace & Defense;NOC.N;NOC
NortonLifeLock;Information Technology;Application Software;NLOK.N;NLOK
Norwegian Cruise Line Holdings;Consumer Discretionary;Hotels, Resorts & Cruise Lines;NCLH.N;NCLH
NRG Energy;Utilities;Independent Power Producers & Energy Traders;NRG.N;NRG
Nucor;Materials;Steel;NUE.N;NUE
Nvidia;Information Technology;Semiconductors;NVDA.N;NVDA
NVR;Consumer Discretionary;Homebuilding;NVR.N;NVR
NXP;Information Technology;Semiconductors;NXPI.N;NXPI
O'Reilly Automotive;Consumer Discretionary;Specialty Stores;ORLY.N;ORLY
Occidental Petroleum;Energy;Oil & Gas Exploration & Production;OXY.N;OXY
Old Dominion Freight Line;Industrials;Trucking;ODFL.N;ODFL
Omnicom Group;Communication Services;Advertising;OMC.N;OMC
Oneok;Energy;Oil & Gas Storage & Transportation;OKE.N;OKE
Oracle;Information Technology;Application Software;ORCL.N;ORCL
Otis Worldwide;Industrials;Industrial Machinery;OTIS.N;OTIS
Paccar;Industrials;Construction Machinery & Heavy Trucks;PCAR.N;PCAR
Packaging Corporation of America;Materials;Paper Packaging;PKG.N;PKG
Parker-Hannifin;Industrials;Industrial Machinery;PH.N;PH
Paychex;Information Technology;Data Processing & Outsourced Services;PAYX.N;PAYX
Paycom;Information Technology;Application Software;PAYC.N;PAYC
PayPal;Information Technology;Data Processing & Outsourced Services;PYPL.N;PYPL
Penn National Gaming;Consumer Discretionary;Casinos & Gaming;PENN.N;PENN
Pentair;Industrials;Industrial Machinery;PNR.N;PNR
People's United Financial;Financials;Thrifts & Mortgage Finance;PBCT.N;PBCT
PepsiCo;Consumer Staples;Soft Drinks;PEP.N;PEP
PerkinElmer;Health Care;Health Care Equipment;PKI.N;PKI
Pfizer;Health Care;Pharmaceuticals;PFE.N;PFE
Philip Morris International;Consumer Staples;Tobacco;PM.N;PM
Phillips 66;Energy;Oil & Gas Refining & Marketing;PSX.N;PSX
Pinnacle West Capital;Utilities;Multi-Utilities;PNW.N;PNW
Pioneer Natural Resources;Energy;Oil & Gas Exploration & Production;PXD.N;PXD
PNC Financial Services;Financials;Regional Banks;PNC.N;PNC
Pool Corporation;Consumer Discretionary;Distributors;POOL.N;POOL
PPG Industries;Materials;Specialty Chemicals;PPG.N;PPG
PPL;Utilities;Electric Utilities;PPL.N;PPL
Principal Financial Group;Financials;Life & Health Insurance;PFG.N;PFG
Procter & Gamble;Consumer Staples;Personal Products;PG.N;PG
Progressive Corporation;Financials;Property & Casualty Insurance;PGR.N;PGR
Prologis;Real Estate;Industrial REITs;PLD.N;PLD
Prudential Financial;Financials;Life & Health Insurance;PRU.N;PRU
PTC;Information Technology;Application Software;PTC.N;PTC
Public Service Enterprise Group;Utilities;Electric Utilities;PEG.N;PEG
Public Storage;Real Estate;Specialized REITs;PSA.N;PSA
PulteGroup;Consumer Discretionary;Homebuilding;PHM.N;PHM
PVH;Consumer Discretionary;Apparel, Accessories & Luxury Goods;PVH.N;PVH
Qorvo;Information Technology;Semiconductors;QRVO.N;QRVO
Quanta Services;Industrials;Construction & Engineering;PWR.N;PWR
Qualcomm;Information Technology;Semiconductors;QCOM.N;QCOM
Quest Diagnostics;Health Care;Health Care Services;DGX.N;DGX
Ralph Lauren Corporation;Consumer Discretionary;Apparel, Accessories & Luxury Goods;RL.N;RL
Raymond James Financial;Financials;Investment Banking & Brokerage;RJF.N;RJF
Raytheon Technologies;Industrials;Aerospace & Defense;RTX.N;RTX
Realty Income Corporation;Real Estate;Retail REITs;O.N;O
Regency Centers;Real Estate;Retail REITs;REG.N;REG
Regeneron Pharmaceuticals;Health Care;Biotechnology;REGN.N;REGN
Regions Financial Corporation;Financials;Regional Banks;RF.N;RF
Republic Services;Industrials;Environmental & Facilities Services;RSG.N;RSG
ResMed;Health Care;Health Care Equipment;RMD.N;RMD
Robert Half International;Industrials;Human Resource & Employment Services;RHI.N;RHI
Rockwell Automation;Industrials;Electrical Components & Equipment;ROK.N;ROK
Rollins;Industrials;Environmental & Facilities Services;ROL.N;ROL
Roper Technologies;Industrials;Industrial Conglomerates;ROP.N;ROP
Ross Stores;Consumer Discretionary;Apparel Retail;ROST.N;ROST
Royal Caribbean Group;Consumer Discretionary;Hotels, Resorts & Cruise Lines;RCL.N;RCL
S&P Global;Financials;Financial Exchanges & Data;SPGI.N;SPGI
Salesforce;Information Technology;Application Software;CRM.N;CRM
SBA Communications;Real Estate;Specialized REITs;SBAC.N;SBAC
Schlumberger;Energy;Oil & Gas Equipment & Services;SLB.N;SLB
Seagate Technology;Information Technology;Technology Hardware, Storage & Peripherals;STX.N;STX
Sealed Air;Materials;Paper Packaging;SEE.N;SEE
