Unnamed: 0;NAME;Sector;Country;REUTERS_CODE;YAHOO_CODE;DEDUCED
245;SIG COMBIBLOC GROUP AG;Industrial Goods and Services;CH;SIGNC.S;SIGNC.SW;SIGNC.S
246;AEGON;Insurance;NL;AEGN.AS;AGN.AS;AEGN.AS, AEG.A
247;SVENSKA CELLULOSA B;Basic Resources;SE;SCAB.ST;SCA-B.ST;SCAB.ST, SCAA.ST
248;SOLVAY;Chemicals;BE;SOLB.BR;SOLB.BR;SOLB.BR
249;TRYG;Insurance;DK;TRYG.CO;TRYG.CO;TRYG.CO
250;AGEAS;Insurance;BE;AGES.BR;AGS.BR;AGES.BR
251;BARRY CALLEBAUT;Food, Beverage and Tobacco;CH;BARN.S;BARN.SW;BARN.S
252;WHITBREAD;Travel and Leisure;GB;WTB.L;WTB.L;WTB.L
253;YARA;Chemicals;NO;YAR.OL;YAR.OL;
254;ADECCO;Industrial Goods and Services;CH;ADEN.S;ADEN.SW;ADEN.S, ADENE.S
255;OMV;Energy;AT;OMVV.VI;OMV.VI;OMVV.VI
256;CHR HANSEN HLDG;Health Care;DK;CHRH.CO;CHR.CO;CHRH.CO
257;RIGHTMOVE GRP;Real Estate;GB;RMV.L;RMV.L;RMV.L
258;RED ELECTRICA CORPORATION;Utilities;ES;REE.MC;REE.MC;
259;KION GROUP;Industrial Goods and Services;DE;KGX.DE;KGX.DE;KGX.BE
260;DCC;Industrial Goods and Services;GB;DCC.L;DCC.L;DCC.L
261;SAMHALLSBYGGNADSBOL AGET NORD;Real Estate;SE;SBBB.ST;SBB-B.ST;
262;INDUTRADE;Industrial Goods and Services;SE;INDT.ST;INDT.ST;INDT.ST
263;COMMERZBANK;Banks;DE;CBKG.DE;CBK.DE;ZZMSY.BE, CBKG.BE
264;TOMRA SYSTEMS;Industrial Goods and Services;NO;TOM.OL;TOM.OL;TOM.OL
265;SMITHS GRP;Industrial Goods and Services;GB;SMIN.L;SMIN.L;SMIN.L
