ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
24 Feb 2021,4 Jun 2021,7 Jun 2021,8 Jun 2021,0.6200EUR
26 Feb 2020,14 Jul 2020,15 Jul 2020,16 Jul 2020,0.1900EUR
27 Feb 2019,4 Jun 2019,5 Jun 2019,6 Jun 2019,0.3500EUR
