ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
25 Feb 2021,27 Apr 2021,28 Apr 2021,29 Apr 2021,2.4000EUR
20 Feb 2020,2 Jul 2020,3 Jul 2020,6 Jul 2020,2.4000EUR
