EVENT_TITLE,EVENT_DATE
Half Year 2021 Teleperformance SE Earnings Release,28 Jul 2021 / 4PM CEST
Q3 2021 Teleperformance SE Corporate Sales Release,3 Nov 2021 / 4PM CET
