ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
5 Feb 2021,5 May 2021,6 May 2021,7 May 2021,3.2000EUR
6 Feb 2020,4 May 2020,5 May 2020,6 May 2020,3.1500EUR
7 Feb 2019,9 May 2019,10 May 2019,13 May 2019,3.0700EUR
