EVENT_TITLE,EVENT_DATE
Sanofi SA at Wolfe Research Pipelines Unplugged Virtual Meeting,22 Jun 2021 / 12PM CEST
Sanofi SA at Guggenheim Talks with Senior Management,22 Jun 2021 / 12PM CEST
