ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
25 Feb 2021,7 May 2021,10 May 2021,11 May 2021,1.4300EUR
20 Feb 2020,7 Jul 2020,8 Jul 2020,9 Jul 2020,0.7300EUR
21 Feb 2019,2 May 2019,3 May 2019,6 May 2019,1.3400EUR
