EVENT_TITLE,EVENT_DATE
October 2021 Aeroports de Paris SA Traffic Figures,17 Nov 2021 / 5PM CET
November 2021 Aeroports de Paris SA Traffic Figures,16 Dec 2021 / 5PM CET
