ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
10 Feb 2021,17 May 2021,18 May 2021,19 May 2021,2.7500EUR
11 Feb 2020,11 May 2020,12 May 2020,13 May 2020,2.7000EUR
14 Feb 2019,20 May 2019,21 May 2019,22 May 2019,2.6500EUR
