NAME,AGE,POSITION,APPOINTED
Joachim Kreuzburg,56,"Chairman Of The Board And Chief Executive Officer, Chairman Of The Executive Committee",2007
Amelie Buton,34,Non-Executive Director,2021
Rene Faber,45,Non-Executive Director,2019
Lothar Kappich,64,Non-Executive Director,2017
Henri Riey,59,Non-Executive Director,2020
Pascale Boissel,54,Non-Executive Independent Director,2019
Susan Dexter,65,Non-Executive Independent Director,2015
Anne-Marie Graffin,59,Non-Executive Independent Director,2015
