ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
26 May 2021,4 Jun 2021,7 Jun 2021,6 Jul 2021,0.6598USD
21 Dec 2020,30 Dec 2020,31 Dec 2020,13 Jan 2021,0.7024USD
16 May 2019,24 May 2019,28 May 2019,13 Jun 2019,1.1366USD
