NAME,AGE,POSITION,APPOINTED
Joseph Felfeli,--,Chairman Of The Board And Chief Executive Officer,2005
Elie Gharios,--,Deputy Chief Executive Officer,2014
Christophe Sion,--,Chief Financial And Administrative Officer,2011
Helene Felfeli,--,Director,2014
Christine Guittard,67,Independent Director,--
Martine Landon,--,Independent Director,--
Daniel Maruzzo,--,Independent Director,2014
Florence Richardson,54,Independent Director,--
Guy Thomas,--,Independent Director,2007
