ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
25 Feb 2021,7 Jun 2021,8 Jun 2021,9 Jun 2021,1.3300EUR
22 Feb 2019,10 Jun 2019,11 Jun 2019,12 Jun 2019,1.3300EUR
