ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
11 Feb 2021,18 May 2021,19 May 2021,9 Jun 2021,0.8000EUR
14 Feb 2019,24 May 2019,27 May 2019,28 May 2019,0.6900EUR
