EVENT_TITLE,EVENT_DATE
Q3 2021 Sodexo SA Corporate Sales Release,1 Jul 2021 / 7AM CEST
Q3 2021 Sodexo SA Corporate Sales Call,1 Jul 2021 / 9AM CEST
