ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
3 Jan 2020,30 Jan 2020,31 Jan 2020,25 Feb 2020,0.6396USD
14 Nov 2018,30 Jan 2019,31 Jan 2019,25 Feb 2019,0.6300USD
