NAME,AGE,POSITION,APPOINTED
Wade Rosen,--,"Chairman Of The Board, Chief Executive Officer",2021
Frederic Chesnais,--,"Head - Atari Blockchain And Licensing, Director",2021
Kelly Bianucci,--,Director,--
Alexandre Zyngier,50,Non-Executive Director,2014
Isabelle Andres,54,Non-Executive Independent Director,2017
Erick Euvrard,--,Non-Executive Independent Director,2013
Alyssa Padia Walles,--,Non-Executive Independent Director,2013
