ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
11 Feb 2021,27 Apr 2021,28 Apr 2021,29 Apr 2021,4.0000EUR
7 Feb 2020,3 Jul 2020,6 Jul 2020,7 Jul 2020,3.8500EUR
7 Feb 2019,26 Apr 2019,29 Apr 2019,30 Apr 2019,3.8500EUR
