EVENT_TITLE,EVENT_DATE
Half Year 2021 L'Oreal SA Earnings Release,28 Jul 2021 / 4PM CEST
Q3 2021 L'Oreal SA Corporate Sales Release,20 Oct 2021 / 4PM CEST
