ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
2 Mar 2021,14 May 2021,17 May 2021,9 Jun 2021,0.7500EUR
26 Feb 2020,13 May 2020,14 May 2020,5 Jun 2020,0.7000EUR
22 Feb 2019,20 May 2019,21 May 2019,11 Jun 2019,0.8600EUR
