ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
18 Mar 2021,28 May 2021,31 May 2021,1 Jun 2021,0.5600EUR
20 Mar 2020,28 May 2020,29 May 2020,2 Jun 2020,0.7000EUR
27 Mar 2019,29 May 2019,30 May 2019,31 May 2019,0.6500EUR
