ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
10 Feb 2021,25 May 2021,26 May 2021,27 May 2021,0.5500EUR
6 Feb 2020,26 May 2020,27 May 2020,28 May 2020,2.2000EUR
17 Jan 2019,27 May 2019,24 May 2019,14 Jun 2019,2.2000EUR
