ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
16 Mar 2021,9 Jul 2021,12 Jul 2021,13 Jul 2021,0.9000EUR
27 Mar 2019,12 Jul 2019,15 Jul 2019,16 Jul 2019,1.2000EUR
