ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
9 Jul 2021,2 Aug 2021,3 Aug 2021,31 Aug 2021,0.2500EUR
7 May 2019,15 Jul 2019,16 Jul 2019,17 Jul 2019,5.5000EUR
