NAME,AGE,POSITION,APPOINTED
Gilles G. Martin,58,"Chairman Of The Board, Chief Executive Officer",--
Valerie Hanote,55,Executive Director,--
Yves-Loic Martin,55,Executive Director,2015
Stuart Anthony K. Anderson,79,Non-Executive Independent Director,2010
Patrizia Luchetta,57,Non-Executive Independent Director,2017
Fereshteh Pouchantchi,67,Non-Executive Independent Director,2014
Pascal Rakovsky,62,Non-Executive Independent Director,2020
