EVENT_TITLE,EVENT_DATE
Half Year 2021 Eurofins Scientific SE Earnings Release,5 Aug 2021 / 8AM CEST
Q3 2021 Eurofins Scientific SE Interim Management Statement Release,21 Oct 2021 / 8AM CEST
