ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
11 May 2021,10 Jun 2021,9 Jun 2021,21 Jun 2021,0.5660BRL
13 Mar 2019,15 May 2019,14 May 2019,19 Jun 2019,0.3893BRL
