EVENT_TITLE,EVENT_DATE
Q2 2021 ArcelorMittal SA Earnings Release,29 Jul 2021 / 8AM CEST
Q3 2021 ArcelorMittal SA Earnings Release,4 Nov 2021 / 8AM CET
