ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
29 Oct 2020,15 Jun 2021,16 Jun 2021,17 Jun 2021,0.3000EUR
30 Jul 2020,7 Dec 2020,8 Dec 2020,9 Dec 2020,0.4000EUR
13 Feb 2020,2 Jun 2020,3 Jun 2020,4 Jun 2020,0.2000EUR
30 Apr 2019,2 Dec 2019,3 Dec 2019,4 Dec 2019,0.3000EUR
