EVENT_TITLE,EVENT_DATE
Full Year 2021 Akka Technologies Se Earnings Release,10 Mar 2022 / 4PM CET
Akka Technologies Se Annual Shareholders Meeting,15 Jun 2022 / 4PM CEST
