EVENT_TITLE,EVENT_DATE
Ubisoft Entertainment SA Annual Shareholders Meeting,2 Jul 2021 / 5PM CEST
Q1 2022 Ubisoft Entertainment SA Corporate Sales Release,20 Jul 2021 / 4PM CEST
