NAME,AGE,POSITION,APPOINTED
Joel Picard,74,"Chairman Of The Board, Chief Executive Officer",2007
Philippe Fleurier,55,Administrative And Financial Director,--
Rene Riper,68,"Director, Director Of Industrial And Technical Affairs",2015
Julien Baillon,38,"Industrial And Technical Affairs Officer, Petroleum Products Sector",--
Philippe Marillaud,45,Director Of Metals And Alloys Sector,--
Airelle Picard,--,"Director, Representative Of Financiere 97",2014
Antoine Diesbecq,--,Independent Director,2007
Bernard Gallois,--,Independent Director,2007
