EVENT_TITLE,EVENT_DATE
Full Year 2021 L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA Earnings Release,8 Feb 2022 / 8AM CET
Q1 2022 L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA Corporate Sales Release,21 Apr 2022 / 8AM CEST
