ANNOUNCE_DATE,EXPECTED_DATE,RECORDED_DATE,PAYMENT_DATE,AMOUNT
18 Feb 2021,1 Jul 2021,2 Jul 2021,5 Jul 2021,2.6500EUR
18 Feb 2021,3 Mar 2021,4 Mar 2021,5 Mar 2021,2.6500EUR
19 Feb 2020,1 Jul 2020,2 Jul 2020,3 Jul 2020,2.5000EUR
19 Feb 2020,4 Mar 2020,5 Mar 2020,6 Mar 2020,2.8000EUR
19 Feb 2019,1 Jul 2019,2 Jul 2019,3 Jul 2019,2.7500EUR
19 Feb 2019,4 Mar 2019,5 Mar 2019,6 Mar 2019,2.7500EUR
