NAME;CODE;BOURSE
PLASTIC OMNIUM;PLOF.PA;
PLASTIVALOIRE;PLVP.PA;
POXEL;POXEL.PA;
PROLOGUE;PRSW.PA;
PSB INDUSTRIES;PSBP.PA;
Publicis Groupe SA;PUBP.PA;CAC
LUMIBIRD;LBIRD.PA;
REMY COINTREAU;RCOP.PA;
Renault S.A.;RENA.PA;CAC
REXEL;RXL.PA;
ROBERTET;ROBF.PA;
ROTHSCHILD & CO;ROTH.PA;
RUBIS;RUBF.PA;
S.E.B.;SEB.PA;
Safran SA;SAF.PA;CAC
SAINT GOBAIN;SGOB.PA;
Sanofi;SASY.PA;CAC
SARTORIUS BIOTECH;STDM.PA;CAC-LARGE
Schneider Electric SE;SCHN.PA;CAC
SCOR SE;SCOR.PA;CAC-LARGE
SECHE ENVIRONNEM.;CCHE.PA;
SERGEFERRARI GROUP;SEFER.PA;
SHOWROOMPRIVE;SRPG.PA;
SIGNAUX GIROD;GIRO.PA;
SMTPC;SMTPC.PA;
SOCIETE GENERALE;SOGN.PA;CAC
SODEXO;EXHO.PA;CAC
SOGECLAIR;SCLR.PA;
SOITEC;SOIT.PA;
solvay;SOLB.BR;CAC-LARGE
SOPRA STERIA GROUP;SOPR.PA;
SPIE;SPIE.PA;
SQLI;SQLI.PA;
ST DUPONT;DPTP.PA;
ST MICROELECTRONICS;STM.PA;CAC
STELLANTIS;STLA.PA;CAC-LARGE
SOLUTION 30;ALS30.PA;
SUEZ;SEVI.PA;CAC-LARGE
SWORD GROUP;SWOR.PA;
SYNERGIE;SDGI.PA;
TARKETT;TKTT.PA;
TELEPERFORMANCE;TEPRF.PA;CAC-LARGE
TESSI;TESI.PA;
THALES;TCFP.PA;CAC
TIVOLY;TIVO.PA;
TOTAL;TOTF.PA;CAC
TOUAX;TETR.PA;
TRANSGENE;TRNG.PA;
TRIGANO;TRI.PA;
UBISOFT;UBIP.PA;CAC-LARGE
UNIBAIL;URW.AS;CAC
UNION TECH.INFOR.;UTIN.PA;
VALEO;VLOF.PA;CAC-LARGE
VALLOUREC;VLLP.PA;
VALNEVA;VLS.PA;
VEOLIA;VIE.PA;CAC
VICAT;VCTP.PA;
VILMORIN & CIE;VILM.PA;
VINCI;SGEF.PA;CAC
VIRBAC;VIRB.PA;
VIVENDI;VIV.PA;CAC
VOLTALIA;VLTSA.PA;
VRANKEN-POMMERY;VRKP.PA;
WENDEL;MWDP.PA;
WORLDLINE;WLN.PA;CAC
XILAM ANIMATION;XIL.PA;
