,as_of,ticker
6895,2010-02-26,IVZ
7025,2009-11-17,JCI
7094,2010-05-10,PGR
7095,2010-08-05,PGR
7096,2010-11-08,PGR
7498,2009-10-29,PCG
7872,2009-08-25,PPL
7873,2009-10-30,PPL
7874,2010-05-06,PPL
7875,2011-02-28,PPL
7876,2011-11-08,PPL
7881,2012-05-07,PPL
7926,2009-08-07,GL
7937,2009-11-06,GL
8002,2024-08-02,PRU
8053,2012-02-29,LYB
8095,2010-05-07,ORLY
8096,2026-02-25,PSKY
8345,2012-10-24,META
8467,2013-03-01,REG
8468,2013-11-01,REG
8469,2013-08-02,REG
8470,2014-05-08,REG
8475,2012-02-27,GM
8476,2014-08-08,REG
8487,2016-02-18,REG
8489,2012-05-03,GM
8490,2012-10-31,GM
8491,2017-08-08,REG
8492,2016-11-04,REG
8493,2018-02-27,REG
8495,2013-05-02,GM
8496,2013-07-25,GM
8523,2014-10-23,GM
8526,2015-02-04,GM
8538,2015-04-23,GM
8539,2014-07-24,GM
8545,2015-10-21,GM
8560,2017-02-07,GM
8561,2016-04-21,GM
8562,2016-07-21,GM
8575,2016-10-25,GM
8589,2009-08-05,RF
8593,2010-02-22,RF
8594,2009-11-04,RF
8595,2011-03-18,RF
8600,2010-05-05,RF
8601,2011-08-04,RF
8610,2011-03-01,MNST
9038,2016-11-03,GOOGL
9067,2019-02-05,GOOGL
9068,2018-04-24,GOOGL
9083,2018-07-24,GOOGL
9097,2019-04-30,GOOGL
9100,2019-07-26,GOOGL
9101,2019-10-29,GOOGL
9107,2021-02-03,GOOGL
9116,2020-10-30,GOOGL
9141,2010-02-26,PRU
9167,2020-03-23,CRWD
9168,2019-07-19,CRWD
9169,2019-09-06,CRWD
9170,2019-12-06,CRWD
9171,2021-03-18,CRWD
9172,2021-06-04,CRWD
9175,2021-09-01,CRWD
9176,2021-12-02,CRWD
9177,2022-03-16,CRWD
9179,2022-06-03,CRWD
9180,2022-08-31,CRWD
9186,2022-11-30,CRWD
9187,2023-03-09,CRWD
9188,2024-06-05,CRWD
9189,2024-08-29,CRWD
9190,2024-11-27,CRWD
9191,2025-03-10,CRWD
9194,2025-08-28,CRWD
9199,2025-12-03,CRWD
9200,2026-03-05,CRWD
9201,2026-06-04,CRWD
9213,2010-09-21,CSCO
9214,2009-11-18,CSCO
9215,2010-02-17,CSCO
9223,2010-05-26,CSCO
9224,2010-11-23,CSCO
9227,2012-11-20,CSCO
9234,2012-02-21,CSCO
9235,2012-05-23,CSCO
9331,2010-02-25,F
9364,2010-08-06,F
9368,2009-08-05,F
9371,2009-11-06,F
9392,2010-10-12,GPN
9403,2011-01-10,GPN
9404,2011-04-01,GPN
9503,2017-05-04,GPN
9515,2025-08-08,SCHW
9516,2025-11-07,SCHW
9523,2011-02-17,REGN
9765,2019-10-31,CTVA
9780,2011-03-01,GS
9786,2010-11-09,GS
9794,2011-05-10,GS
9802,2018-03-06,CVNA
9803,2018-05-09,CVNA
9804,2010-08-09,GS
9809,2017-08-08,CVNA
9810,2017-11-07,CVNA
9811,2011-11-09,GS
9814,2020-02-26,CVNA
9815,2020-05-06,CVNA
9819,2019-08-07,CVNA
9820,2019-11-06,CVNA
9821,2021-11-04,CVNA
9825,2022-02-24,CVNA
9828,2022-05-10,CVNA
9829,2022-11-03,CVNA
9832,2023-05-04,CVNA
9833,2023-07-19,CVNA
9834,2024-02-22,CVNA
9835,2024-05-01,CVNA
9836,2009-11-02,ROP
9838,2024-07-31,CVNA
9839,2024-10-30,CVNA
9840,2025-05-07,CVNA
9842,2025-07-30,CVNA
9843,2025-10-29,CVNA
9847,2026-02-18,CVNA
9848,2026-04-29,CVNA
9947,2019-11-06,CVS
10210,2010-02-17,PFG
10322,2011-02-28,STT
10323,2009-11-06,STT
10380,2020-04-28,STT
10381,2020-07-27,STT
10382,2020-10-23,STT
10385,2021-04-23,STT
10386,2021-07-23,STT
10387,2021-10-22,STT
10388,2023-02-16,STT
10389,2022-04-27,STT
10390,2022-07-28,STT
10398,2024-05-02,STT
10399,2024-08-01,STT
10400,2024-10-31,STT
10406,2025-10-30,STT
10407,2026-02-19,STT
10474,2010-03-11,PNC
10516,2011-02-23,PNR
10569,2025-07-31,STT
10957,2010-11-04,TAP
10961,2011-02-22,TAP
10988,2010-08-06,RJF
11061,2015-11-06,KHC
11127,2009-10-22,DHR
11331,2011-11-14,TER
11395,2010-02-25,SCHW
11407,2011-02-25,TFC
11408,2010-09-02,TFC
11409,2010-11-09,TFC
11419,2011-05-06,TFC
11420,2011-08-08,TFC
11421,2011-11-09,TFC
11422,2012-02-27,TFC
11427,2012-08-07,TFC
11428,2012-11-02,TFC
11431,2013-03-01,TFC
11432,2013-05-02,TFC
11433,2014-10-27,TFC
11434,2014-02-26,TFC
11435,2017-04-24,TFC
11436,2017-07-28,TFC
11441,2017-10-27,TFC
11447,2018-02-21,TFC
11462,2018-04-30,TFC
11471,2020-03-03,TFC
11472,2021-05-03,TFC
11473,2021-08-06,TFC
11474,2021-11-02,TFC
11478,2023-02-28,TFC
11479,2023-07-31,TFC
11480,2023-10-31,TFC
11481,2024-02-27,TFC
11482,2024-11-01,TFC
11483,2025-10-30,TFC
11566,2011-02-17,SNA
11846,2010-02-26,USB
11847,2009-08-10,USB
11853,2009-11-06,USB
11863,2010-05-07,USB
11864,2010-08-06,USB
11865,2010-11-08,USB
11866,2011-11-04,USB
11869,2012-05-07,USB
11870,2012-08-03,USB
11871,2012-11-05,USB
11872,2012-02-23,USB
11873,2014-08-06,USB
11874,2014-11-06,USB
11879,2015-02-27,USB
11880,2015-08-05,USB
11881,2015-11-04,USB
11886,2016-02-25,USB
11887,2016-05-06,USB
11891,2016-08-05,USB
11892,2017-05-05,USB
11893,2019-02-22,USB
11894,2018-08-02,USB
11903,2019-05-09,USB
11904,2019-08-01,USB
11915,2010-02-22,FSLR
11919,2019-11-08,USB
11920,2020-02-20,USB
11921,2020-05-07,USB
11926,2020-08-06,USB
11927,2021-05-04,USB
11930,2022-08-04,USB
11931,2023-11-01,USB
11932,2024-05-01,USB
11933,2024-11-05,USB
11934,2025-05-06,USB
11939,2025-08-07,USB
11940,2025-11-05,USB
11941,2026-02-23,USB
11942,2026-05-04,USB
11978,2009-10-30,FSLR
12026,2018-03-28,VICI
12136,2026-03-20,VEEV
12371,2010-03-12,TGT
12467,2019-03-13,VRT
12468,2019-05-08,VRT
12471,2018-08-07,VRT
12575,2018-08-06,VST
12634,2009-08-07,VLO
12635,2009-11-05,VLO
12658,2010-08-05,ACGL
12816,2019-02-28,VST
12821,2010-02-26,FCX
12843,2010-11-01,ED
12844,2009-08-07,FCX
12855,2009-11-06,FCX
12858,2011-02-25,FCX
12860,2010-05-07,FCX
12918,2011-02-28,ACGL
12919,2010-11-08,ACGL
12924,2012-05-10,ACGL
12925,2011-08-05,ACGL
12928,2012-11-09,ACGL
12929,2014-03-03,ACGL
12930,2017-03-01,ACGL
12931,2017-05-05,ACGL
12940,2017-08-04,ACGL
12941,2018-08-08,ACGL
12942,2019-11-08,ACGL
12948,2020-02-28,ACGL
12949,2020-05-08,ACGL
12950,2020-08-06,ACGL
12955,2020-11-05,ACGL
12956,2023-11-09,ACGL
12961,2025-02-27,ACGL
13048,2010-09-08,EG
13049,2010-11-09,EG
13059,2012-05-10,EG
13060,2012-02-29,EG
13062,2013-03-01,EG
13066,2014-03-03,EG
13071,2015-03-02,EG
13072,2015-08-10,EG
13073,2016-02-29,EG
13076,2017-03-01,EG
13080,2018-05-10,EG
13081,2018-08-09,EG
13082,2018-11-09,EG
13090,2018-03-01,EG
13091,2019-03-01,EG
13094,2020-11-09,EG
13095,2020-03-02,EG
13099,2021-03-01,EG
13100,2022-05-05,EG
13105,2022-08-04,EG
13106,2022-11-03,EG
13112,2023-05-04,EG
13113,2023-08-03,EG
13114,2023-11-01,EG
13116,2024-02-28,EG
13117,2024-05-03,EG
13118,2024-08-02,EG
13119,2024-11-05,EG
13120,2025-02-27,EG
13121,2025-05-02,EG
13123,2025-08-01,EG
13124,2025-10-31,EG
13125,2026-02-26,EG
13126,2026-05-05,EG
13130,2009-08-07,EIX
13131,2009-11-06,EIX
13132,2010-03-01,EIX
13138,2010-05-07,EIX
13139,2010-08-05,EIX
13143,2010-10-29,EIX
13144,2011-05-02,EIX
13154,2011-08-04,EIX
13155,2011-11-02,EIX
13165,2012-05-07,FCX
13191,2011-08-05,FCX
13208,2011-11-04,FCX
13353,2017-05-05,LDOS
13354,2017-08-04,LDOS
13355,2016-11-04,LDOS
13382,2013-02-22,FCX
13516,2011-05-02,HST
13527,2011-10-17,HST
13559,2009-08-05,EMR
13811,2013-02-22,HSY
13879,2009-08-06,EQR
13880,2009-11-05,EQR
13977,2011-05-25,TTWO
14045,2013-05-06,FCX
14097,2010-11-04,ERIE
14216,2010-02-16,WM
14689,2010-02-05,TROW
14690,2009-07-24,TROW
14691,2009-10-23,TROW
14694,2011-02-08,TROW
14695,2010-04-23,TROW
14696,2010-07-23,TROW
14697,2010-10-22,TROW
14701,2013-10-24,TROW
14702,2014-02-04,TROW
14703,2014-04-24,TROW
14706,2014-07-24,TROW
14707,2014-10-23,TROW
14708,2016-04-26,TROW
14709,2016-07-26,TROW
14710,2017-04-25,TROW
14711,2017-07-25,TROW
14714,2016-10-27,TROW
14715,2017-02-07,TROW
14716,2019-04-24,TROW
14717,2019-07-24,TROW
14725,2019-10-24,TROW
14726,2020-02-13,TROW
14727,2022-04-28,TROW
14728,2022-07-28,TROW
14729,2022-10-27,TROW
14731,2023-10-27,TROW
14732,2024-02-16,TROW
14733,2024-04-26,TROW
14734,2024-07-26,TROW
14735,2009-08-05,TRV
14736,2009-10-22,TRV
14737,2011-10-19,TRV
14742,2012-02-16,TRV
14750,2012-04-19,TRV
14751,2012-07-19,TRV
14755,2014-02-13,TRV
14756,2013-04-23,TRV
14764,2013-07-23,TRV
14765,2013-10-22,TRV
14980,2010-08-09,TSN
15203,2009-05-11,FCX
15206,2014-05-09,FCX
15207,2013-08-09,FCX
15208,2013-11-06,FCX
15571,2009-07-30,J
15664,2014-04-24,GM
15689,2010-02-26,MET
15693,2015-10-29,GOOGL
15696,2016-02-11,GOOGL
15697,2016-05-03,GOOGL
15698,2016-08-04,GOOGL
15743,2018-08-07,KDP
15773,2009-11-04,GS
15774,2010-03-01,GS
15775,2009-08-05,GS
15889,2009-08-07,KMB
16155,2009-08-26,MSI
16156,2009-11-04,MSI
16159,2011-02-18,MSI
16188,2009-11-05,MTB
16193,2014-08-07,MTB
16208,2022-05-05,MTB
16259,2010-08-05,IFF
16349,2010-02-25,IP
16350,2009-08-10,IP
16351,2009-11-06,IP
16360,2013-02-12,LYB
16434,2014-05-02,MAA
16470,2009-08-25,MAS
16471,2009-10-29,MAS
16636,2012-04-30,NTRS
16666,2017-10-25,KDP
16775,2009-11-06,KMB
16798,2011-11-02,KMI
17076,2011-02-22,MTB
17079,2009-09-03,MTB
17084,2013-05-09,MTB
17094,2021-02-22,MTB
17095,2021-05-06,MTB
17096,2021-08-05,MTB
17119,2010-05-07,PCG
17127,2013-07-31,PCG
17128,2013-10-30,PCG
17129,2014-02-11,PCG
17137,2019-11-07,PCG
17138,2022-04-28,PCG
17139,2023-07-27,PCG
17173,2023-02-22,PEG
17428,2012-07-31,META
17443,2009-08-03,NTRS
17446,2010-02-26,NTRS
17447,2010-04-30,NTRS
17448,2013-04-30,NTRS
17455,2016-10-26,NTRS
17581,2012-03-12,MPWR
17594,2012-08-08,PPL
17595,2012-11-08,PPL
17596,2013-11-01,PPL
17655,2011-11-03,ON
17744,2010-11-02,MSI
17764,2012-02-23,MTB
17765,2010-05-07,MTB
17766,2014-05-08,MTB
17777,2022-08-05,MTB
17778,2022-11-07,MTB
17862,2012-02-29,REG
17866,2017-05-10,REG
17867,2019-02-21,REG
17874,2009-08-05,PCG
17877,2011-02-17,PCG
17880,2012-05-02,PCG
17885,2016-05-04,PCG
17886,2016-07-28,PCG
17888,2020-02-18,PCG
17889,2019-05-02,PCG
17894,2024-11-07,PCG
17895,2025-04-24,PCG
17914,2024-04-30,PEG
17915,2023-08-01,PEG
17916,2023-10-31,PEG
17917,2025-08-05,PEG
17918,2011-11-03,RF
18032,2009-08-10,PGR
18033,2009-11-09,PGR
18094,2019-04-29,NTRS
18095,2019-07-30,NTRS
18096,2019-10-28,NTRS
18175,2012-04-12,NXPI
18321,2010-02-26,PPL
18326,2013-02-28,PPL
18327,2013-05-03,PPL
18328,2013-08-02,PPL
18368,2024-05-02,PRU
18382,2026-05-08,SCHW
18387,2026-05-04,PSKY
18444,2010-02-19,PCG
18447,2010-11-04,PCG
18453,2018-05-03,PCG
18455,2020-10-29,PCG
18456,2021-02-25,PCG
18457,2021-07-29,PCG
18458,2022-10-27,PCG
18459,2024-04-25,PCG
18461,2025-10-23,PCG
18462,2026-04-09,PCG
18482,2022-05-03,PEG
18483,2022-08-02,PEG
18514,2014-11-04,REG
18515,2015-05-07,REG
18516,2017-02-27,REG
18759,2025-02-13,STT
18760,2025-05-01,STT
18778,2014-07-31,PPL
18845,2025-11-10,PSKY
19026,2011-05-26,RL
19088,2011-02-25,ROL
19108,2009-08-17,ROP
19161,2010-02-26,TFC
19168,2014-04-30,TFC
19169,2016-02-25,TFC
19170,2016-04-29,TFC
19171,2015-07-30,TFC
19180,2022-02-23,TFC
19195,2009-08-10,STT
19207,2011-02-25,SBAC
19217,2024-02-15,STT
19271,2026-02-25,SCHW
19273,2011-07-19,URI
19274,2011-10-18,URI
19317,2010-02-05,SLB
19320,2014-05-07,USB
19336,2016-11-04,USB
19342,2018-11-02,USB
19348,2020-11-05,USB
19349,2021-02-23,USB
19354,2024-02-20,USB
19357,2024-08-06,USB
19376,2025-02-21,USB
19436,2010-02-25,SPG
19527,2018-11-06,VRT
19531,2022-10-26,STT
19532,2023-04-27,STT
19534,2026-04-29,STT
19560,2020-11-10,VTRS
19567,2021-11-08,VTRS
19574,2014-07-28,TFC
19576,2018-05-04,VST
19580,2016-10-24,TFC
19585,2018-07-27,TFC
19586,2018-10-26,TFC
19587,2020-11-02,TFC
19593,2023-05-01,TFC
19598,2026-02-24,TFC
19599,2026-05-01,TFC
19724,2025-08-29,VEEV
19725,2025-11-21,VEEV
19729,2012-02-29,ACGL
19730,2011-11-08,ACGL
19734,2013-05-10,ACGL
19735,2014-05-12,ACGL
19736,2014-08-08,ACGL
19737,2014-11-07,ACGL
19738,2015-02-27,ACGL
19746,2017-11-03,ACGL
19747,2018-05-09,ACGL
19755,2022-02-25,ACGL
19756,2023-05-04,ACGL
19757,2023-08-02,ACGL
19821,2012-11-09,TER
19841,2009-11-09,TFC
19845,2010-05-07,TFC
19846,2009-08-13,TFC
19851,2015-10-30,TFC
19855,2019-02-26,TFC
19856,2020-05-08,TFC
19857,2020-08-04,TFC
19858,2022-05-05,TFC
19859,2022-08-01,TFC
19860,2022-10-31,TFC
19861,2025-04-30,TFC
19862,2025-07-31,TFC
19960,2013-05-03,USB
19961,2013-08-07,USB
19962,2013-11-01,USB
19963,2014-02-21,USB
19964,2015-05-06,USB
19971,2021-08-03,USB
19972,2021-11-02,USB
19973,2022-02-22,USB
19974,2022-05-03,USB
20002,2012-04-27,AEP
20013,2013-08-09,ACGL
20014,2013-11-08,ACGL
20015,2026-06-05,VEEV
20016,2017-11-13,VICI
20022,2021-05-06,ACGL
20023,2021-08-05,ACGL
20024,2021-11-04,ACGL
20026,2025-05-07,ACGL
20027,2025-08-05,ACGL
20229,2012-07-27,AEP
20253,2015-05-08,ACGL
20254,2016-08-05,ACGL
20255,2016-11-04,ACGL
20261,2022-05-04,ACGL
20262,2022-08-03,ACGL
20263,2022-11-03,ACGL
20264,2023-02-24,ACGL
20267,2025-11-06,ACGL
20268,2026-02-26,ACGL
20269,2026-05-05,ACGL
20447,2012-10-26,AEP
20484,2012-02-03,TROW
20487,2010-02-26,AFL
20508,2019-02-13,TROW
20509,2018-07-25,TROW
20510,2018-10-25,TROW
20518,2026-04-30,TROW
20522,2011-02-17,TRV
20531,2012-10-18,TRV
20605,2020-02-25,WAT
20661,2024-02-27,TKO
20664,2011-07-26,TROW
20665,2012-04-24,TROW
20666,2012-10-24,TROW
20671,2020-04-28,TROW
20672,2020-07-29,TROW
20673,2020-10-29,TROW
20675,2023-05-02,TROW
20676,2023-07-28,TROW
20679,2010-07-22,TRV
20680,2010-10-21,TRV
20683,2016-10-20,TRV
20739,2009-07-29,TXN
20783,2013-02-05,TROW
20784,2012-07-25,TROW
20787,2022-02-24,TROW
20792,2025-08-01,TROW
20793,2025-10-31,TROW
20794,2026-02-13,TROW
20795,2010-02-18,TRV
20796,2011-07-21,TRV
20797,2014-07-22,TRV
20798,2014-10-21,TRV
20799,2016-02-11,TRV
20848,2009-10-30,TXN
21029,2010-02-10,UNH
21060,2010-02-19,VTR
21139,2023-11-07,WAT
21155,2010-02-26,WAT
21177,2022-02-24,WAT
21199,2022-11-03,WAT
21203,2024-02-27,WAT
21206,2010-02-22,WBD
21403,2009-07-31,XEL
21539,2010-03-30,WMT
21758,2009-08-10,WY
21759,2009-11-06,WY
22230,2011-02-25,ALB
22320,2015-02-27,ALLE
22345,2009-12-11,AMAT
