,as_of,ticker
1650,2014-09-23,KR
1654,2014-12-16,KR
1655,2015-06-30,KR
1656,2018-04-03,KR
1657,2018-12-18,KR
1662,2019-09-24,KR
1663,2025-04-01,KR
1668,2025-06-27,KR
1669,2025-09-19,KR
1673,2025-12-12,KR
1681,2009-11-02,L
1682,2009-08-06,L
1683,2010-05-04,L
1684,2010-08-27,L
1685,2011-05-03,L
1688,2012-02-22,L
1689,2013-04-30,L
1690,2019-10-28,L
1693,2023-05-01,L
1694,2023-07-31,L
1695,2024-05-06,L
1696,2024-07-29,L
1705,2024-11-04,L
1708,2011-03-25,LDOS
1709,2011-06-03,LDOS
1714,2011-02-24,CHD
1783,2021-11-03,CVS
1785,2011-05-03,CHTR
1792,2014-11-12,ARES
1793,2015-03-20,ARES
1794,2015-05-12,ARES
1797,2014-08-13,ARES
1798,2016-05-10,ARES
1799,2015-08-11,ARES
1800,2015-11-10,ARES
1803,2017-02-27,ARES
1804,2017-05-08,ARES
1805,2020-02-28,ARES
1807,2012-05-02,LHX
1808,2012-08-27,LHX
1809,2012-10-31,LHX
1810,2017-08-07,ARES
1811,2017-11-06,ARES
1812,2019-02-26,ARES
1813,2013-01-30,LHX
1814,2013-10-30,LHX
1815,2014-01-29,LHX
1816,2014-08-25,LHX
1817,2014-10-29,LHX
1818,2018-08-06,ARES
1819,2019-11-06,ARES
1820,2020-08-07,ARES
1822,2024-11-01,D
1823,2020-05-08,ARES
1824,2020-11-06,ARES
1828,2016-11-02,LHX
1832,2024-05-02,D
1834,2017-02-03,LHX
1856,2011-02-09,ATO
1857,2011-05-05,ATO
1864,2011-11-22,ATO
1870,2012-02-08,ATO
1871,2011-08-04,ATO
1872,2012-05-03,ATO
1873,2013-05-02,ATO
1875,2014-02-04,ATO
1876,2013-08-07,ATO
1877,2013-11-13,ATO
1882,2014-05-07,ATO
1883,2014-08-06,ATO
1893,2015-02-03,ATO
1894,2015-05-06,ATO
1895,2015-08-05,ATO
1896,2017-08-02,ATO
1900,2017-04-12,ATO
1901,2017-02-07,ATO
1912,2017-05-04,ATO
1913,2018-08-08,ATO
1917,2018-11-13,ATO
1918,2019-02-05,ATO
1919,2019-05-07,ATO
1923,2020-05-06,ATO
1924,2019-08-07,ATO
1925,2020-11-13,ATO
1926,2020-02-04,ATO
1928,2010-10-21,DHR
1933,2021-08-04,ATO
1934,2021-11-12,ATO
1935,2021-02-02,ATO
1936,2021-05-05,ATO
1945,2022-11-14,ATO
1946,2022-02-08,ATO
1947,2022-05-04,ATO
1948,2022-08-03,ATO
